System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
Kyotograil	Ky	
modCB	Mg	
MIM	Mi	
AltExon	Ae	
sharesCDS	Sc	
RefSeq	Q	
Illumina	Il	
CAS	Ca	
Ensembl	En	MOD
GadFly	Gf	
Ens_Tg_translation	Ens	
Vega_transcript	Vr	
XenTro	Xen	
goslim_goa	gos	
wormpep_id	Wp	
CCDS	Cc	
Cint	Cj	
EPD	Epd	
ENST	Enst	
TetNig	Tet	
Symbol	Sy	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
TakRub	Tak	
GPCR	Gpcr	
EntrezGene	L	MOD
CioInt	Cio	
UniGene	Ug	
HMDB	Ch	MOD
Osford_FGU	Of	
ProteinID	Pi	
FlyBase	F	
SGD	D	
Fantom	Fa	
FlyGrid	Fg	
KeggCompound	Ck	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
Vega_translation	Vt	
CloneID	Clb	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
Vega	Vg	
Uniprot	S	
TubercuList	Tb	
Zfin	Z	
HPA	Hpa	
ChEBI	Ce	
PDB	Pd	
miRBase	Mb	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
MEROPS	Merops	
MGI	M	
IPI	Ip	
MiscArray	Ma	
PubChem	Cp	
UCSC	Ucsc	
PUBMED	Pu	
TransFac	Transfac	
Sanger	Sh	
RFAM	Rf	
DEDb	De	
OTT	Ot	
Wormbase	Wb	
HGNC	Hg	
